id,name,alternateNames,type,skinColor,fleshColor,origin,description,flavorIntensity,butteriness,earthiness,sweetness,nuttiness,flavorCategory,textureWhenCooked,moistureLevel,starchContent,bestUses,fryingQuality,mashingQuality,roastingQuality,saladQuality,holdsShapeWhenCooked,cuisineAffinity,tuberShape,tuberSizeGrams_min,tuberSizeGrams_max,sizeCategory,eyeDepth,skinTexture,skinThickness,daysToMaturity_min,daysToMaturity_max,maturityCategory,yieldPotential,plantVigor,setCount,tuberSizeUniformity,hardinessZone_min,hardinessZone_max,heatTolerance,droughtTolerance,frostTolerance,climateSuitability,containerFriendly,minPotLiters,rowSpacingCm,seedSpacingCm,difficulty,storageLife,storageDormancy,storageNotes,diseaseResistance_lateBlight,diseaseResistance_scab,diseaseResistance_virus,diseaseResistance_nematode,diseaseNotes,availableFrom_SeedSow,availableFrom_WestCoastSeeds,vendorSeedList,vendorVarietyNames,sources,confidence
46,Red Pontiac Organic,,all_purpose,red,white,USA,"Certified organic version of the classic American red potato with white flesh. The moist, waxy texture suits boiling and salads. Grown without synthetic chemicals.",5,5,4,4,3,mild,waxy,moist,low,boiling|salads|roasting,5,6,8,9,8,american,round,87,107,medium,shallow,smooth,thin,77,100,mid_late,high,high,moderate,uniform,2,9,7,4,7,cool|temperate,false,,36,24,beginner,good,short,,highly_resistant,highly_resistant,susceptible,moderate,,true,true,SeedSow|WestCoastSeeds,Red Pontiac|Red Pontiac Organic,seedsnow.com|westcoastseeds.com|wikipedia.org|potatoassociation.org,high
47,La Ratte,,fingerling,yellow,yellow,France,"Legendary French fingerling from the 1800s with golden tan skin and yellow flesh. The waxy texture and exceptional nutty, chestnut-like flavor are unmatched for roasting and salads. A gourmet benchmark variety beloved by chefs worldwide.",7,7,5,5,7,nutty,waxy,moist,low,roasting|salads|boiling,5,5,10,10,9,french|european,fingerling,34,64,small,medium,smooth,thin,100,120,late,low,medium,few,uniform,3,8,4,6,6,cool|temperate,true,20,29,23,advanced,excellent,long,,resistant,moderate,resistant,moderate,,false,true,WestCoastSeeds,La Ratte Fingerling,westcoastseeds.com|ag.umass.edu|wikipedia.org,high
48,Yukon Gold Organic,,all_purpose,yellow,yellow,Canada,"Certified organic version of the beloved buttery gold potato. The creamy texture and rich flavor make exceptional mashed potatoes and gratins. Grown without synthetic chemicals.",5,8,5,4,5,buttery,creamy,moist,medium,mashing|roasting|baking,6,8,8,7,6,global,oblong,107,117,large,shallow,smooth,thin,84,94,mid_late,medium,medium,moderate,uniform,2,9,6,4,4,cool|temperate,false,,32,24,intermediate,good,medium,,resistant,highly_resistant,susceptible,susceptible,,true,true,SeedSow|WestCoastSeeds,Yukon Gold|Yukon Gold Organic,seedsnow.com|westcoastseeds.com|woodprairie.com|extension.umaine.edu,high
49,Kennebec Organic,,all_purpose,white,white,USA,"Certified organic version of the classic American all-purpose potato with white skin and flesh. The fluffy texture and mild flavor suit frying and baking. A clean-growing option for the traditional Kennebec.",6,6,4,3,3,mild,fluffy,medium,medium,frying|baking|mashing,9,7,7,6,5,american,oblong,105,170,large,shallow,smooth,thin,79,102,mid_season,high,medium,moderate,uniform,2,9,5,6,4,cool|temperate,false,,35,34,intermediate,good,medium,,moderate,susceptible,susceptible,susceptible,,true,true,SeedSow|WestCoastSeeds,Kennebec|Kennebec Organic,seedsnow.com|westcoastseeds.com|extension.umaine.edu|wikipedia.org,high
50,Chieftain Organic,,all_purpose,red,white,USA,"Certified organic version of the American red-skinned Chieftain with white flesh. The waxy texture and mild flavor make it reliable for boiling and salads. Grown without synthetic chemicals.",4,5,4,4,4,mild,waxy,moist,low,boiling|salads|roasting,5,5,8,8,8,american,round,75,112,medium,shallow,smooth,thin,91,107,mid_late,high,medium,moderate,uniform,2,9,5,5,6,cool|temperate,false,,37,27,beginner,good,medium,,susceptible,susceptible,moderate,resistant,,false,true,WestCoastSeeds,Chieftain Organic,westcoastseeds.com|potatoassociation.org|woodprairie.com,high
51,Warba,,all_purpose,white,white,USA,"American early variety from Minnesota with white skin and white flesh. The mealy texture and mild flavor suit baking and frying. One of the earliest varieties to mature in the season.",5,5,4,4,3,mild,mealy,medium,medium,baking|frying|boiling,6,6,7,6,5,american,round,70,88,medium,shallow,smooth,thin,55,70,early,medium,medium,many,uniform,2,9,5,7,6,cool|temperate,false,,34,25,beginner,fair,short,,moderate,susceptible,susceptible,moderate,,false,true,WestCoastSeeds,Warba,westcoastseeds.com|potatoassociation.org|seedsnow.com,high
52,Potato Mix,,all_purpose,mixed,mixed,Various,"Mixed variety collection offering several varieties in one package. The assortment typically includes different skin and flesh colors for visual variety. Perfect for gardeners who want to sample different types.",5,6,4,4,4,varied,varied,moist,medium,various,5,5,7,7,7,global,varied,64,76,medium,varied,varied,varied,84,110,varied,medium,medium,moderate,variable,2,9,5,7,4,temperate,false,,37,27,beginner,fair,short,,varied,varied,varied,varied,,false,true,WestCoastSeeds,Potato Mix,westcoastseeds.com|potatoassociation.org|wikipedia.org,medium
53,Russian Blue,,specialty,blue,blue,Russia,"Russian heirloom with blue skin and blue flesh throughout. The dry, mealy texture and earthy flavor suit baking where the color adds drama. Stores well through winter.",6,4,6,4,4,earthy,mealy,dry,medium,baking|roasting|chips,6,6,7,6,5,russian|european,oblong,69,99,medium,medium,smooth,medium,100,120,late,medium,medium,moderate,moderate,2,9,7,3,4,cool,false,,38,32,intermediate,good,long,,resistant,susceptible,susceptible,highly_resistant,,false,true,WestCoastSeeds,Russian Blue,westcoastseeds.com|seedsnow.com|wikipedia.org,high
54,Katahdin,,all_purpose,white,white,USA,"American heritage variety from 1932 with buff-white skin and white flesh. Developed in Maine and named after Mount Katahdin. The fluffy texture and mild flavor make it versatile for baking and frying. Excellent disease resistance.",5,5,4,4,3,mild,fluffy,medium,medium,baking|frying|mashing,7,7,7,6,5,american,round,111,170,large,shallow,smooth,thin,80,100,mid_season,high,medium,moderate,uniform,2,9,4,7,8,cool|temperate,false,,34,24,beginner,good,medium,,susceptible,highly_resistant,resistant,susceptible,,false,false,,,ag.umass.edu|wikipedia.org,high
55,Adirondack Blue,,specialty,blue,blue,USA,"New York-bred blue potato with vivid blue-purple color throughout both skin and flesh. The moist texture and mild flavor hold up to various cooking methods. High antioxidants make it as healthy as it is beautiful.",5,5,4,5,3,mild,moist,moist,medium,roasting|baking|salads,5,6,8,8,7,american,oblong,89,115,medium,medium,smooth,medium,90,100,mid_season,medium,medium,moderate,moderate,2,9,5,7,5,cool|temperate,false,,25,32,intermediate,good,short,,moderate,moderate,susceptible,susceptible,,false,false,,,extension.umaine.edu|wikipedia.org,high
57,Superior,,all_purpose,white,white,USA,"American white variety with buff skin and white flesh. The mealy texture and mild flavor make good baking and chipping potatoes. A reliable producer with uniform tubers.",5,5,4,3,3,mild,mealy,medium,medium,baking|chips|frying,7,6,6,5,5,american,round,64,103,medium,shallow,smooth,thin,80,95,mid_early,high,medium,moderate,uniform,2,9,3,6,4,cool|temperate,false,,34,20,beginner,good,medium,,moderate,resistant,moderate,susceptible,,false,false,,,ag.umass.edu|seedsnow.com,high
58,Carola,,all_purpose,yellow,yellow,Germany,"German variety with yellow skin and matching yellow flesh. The waxy texture and buttery flavor make it excellent for salads and boiling. A reliable producer with good disease tolerance.",6,8,4,4,4,buttery,waxy,moist,low,salads|boiling|roasting,5,6,8,9,8,german|european,oval,61,109,medium,shallow,smooth,thin,80,94,mid_early,medium,medium,moderate,moderate,2,9,6,6,7,cool|temperate,false,,26,24,intermediate,good,medium,,moderate,highly_resistant,susceptible,moderate,,false,false,,,extension.umaine.edu|woodprairie.com,high
59,Charlotte,,all_purpose,yellow,yellow,France,"French salad potato with yellow skin and golden flesh. The waxy texture and buttery flavor make it a classic for potato salads. A European favorite for its consistent quality.",5,7,4,4,4,buttery,waxy,moist,low,salads|boiling|roasting,5,5,8,10,9,french|european,oval,70,100,medium,shallow,smooth,thin,89,104,mid_season,high,medium,moderate,uniform,2,9,5,4,6,cool|temperate,false,,30,29,intermediate,good,medium,,susceptible,moderate,moderate,resistant,,false,false,,,extension.umaine.edu|wikipedia.org,high
60,La Ratte,,fingerling,yellow,yellow,France,"Classic French fingerling with golden tan skin and yellow flesh. The waxy texture and exceptional nutty flavor are legendary for salads and roasting. Same variety as La Ratte Fingerling. A chef's favorite worldwide.",7,7,5,5,7,nutty,waxy,moist,low,salads|roasting|boiling,5,5,10,10,9,french|european,fingerling,50,80,small,medium,smooth,thin,90,110,mid_late,low,medium,few,uniform,3,8,7,7,4,cool|temperate,false,,34,30,advanced,excellent,long,,susceptible,highly_resistant,moderate,moderate,,false,true,WestCoastSeeds,La Ratte Fingerling,westcoastseeds.com|ag.umass.edu|seedsnow.com,high
61,Cranberry Red,,specialty,red,red,USA,"American red-fleshed variety with red skin and red interior that lightens when cooked. The moist texture and mild, slightly sweet flavor suit roasting and salads. The cranberry-like color creates memorable presentations.",6,5,4,6,3,mild,moist,moist,low,roasting|salads,5,5,8,8,8,american,oval,70,105,medium,shallow,smooth,thin,80,95,mid_late,medium,medium,moderate,moderate,2,9,3,3,4,cool|temperate,false,,34,33,beginner,good,medium,,moderate,susceptible,highly_resistant,moderate,,false,false,,,extension.umaine.edu|potatoassociation.org,high
62,Maris Piper,,all_purpose,white,cream,UK,"British classic and the UK's most popular potato. Cream-white skin with cream flesh. The fluffy texture fries to golden perfection. The standard for traditional British chips.",5,6,4,4,4,mild,fluffy,medium,medium,frying|chips|mashing|roasting,8,7,8,5,5,british,oval,60,114,medium,shallow,smooth,thin,80,97,mid_season,high,high,moderate,uniform,2,9,7,5,4,cool|temperate,false,,26,22,beginner,good,medium,,moderate,susceptible,resistant,susceptible,,false,false,,,westcoastseeds.com|extension.umaine.edu,high
63,Desiree,,waxy,red,yellow,Netherlands,"Dutch classic with distinctive red skin and pale yellow flesh. The waxy texture and mild flavor excel in boiling and salads. High yield and disease resistance make it popular worldwide.",5,6,4,4,3,mild,waxy,moist,low,boiling|salads|roasting,4,5,8,9,8,dutch|european,oval,92,147,medium,shallow,smooth,thin,82,109,mid_late,very_high,medium,many,uniform,2,10,4,6,8,cool|temperate,true,12,27,30,beginner,good,medium,,susceptible,highly_resistant,resistant,susceptible,,false,false,,,seedsnow.com|westcoastseeds.com,high
64,Nicola,,all_purpose,yellow,yellow,Germany,"German salad potato with yellow skin and matching golden flesh. The waxy texture and mild buttery flavor hold up beautifully in salads and boiling. Excellent for German potato salad.",5,7,4,4,4,buttery,waxy,moist,low,salads|boiling|roasting,5,5,8,9,8,german|european,oval,80,120,medium,shallow,smooth,thin,87,100,mid_early,medium,medium,moderate,uniform,2,9,4,6,5,cool|temperate,false,,38,30,intermediate,good,medium,,highly_resistant,moderate,resistant,moderate,,false,false,,,westcoastseeds.com|woodprairie.com,high
65,Kipfler,,fingerling,yellow,yellow,Austria,"Austrian fingerling with yellow skin and golden yellow flesh. The waxy texture and rich buttery flavor make excellent roasted potatoes and salads. The elongated shape is classic for European preparations.",6,8,4,5,5,buttery,waxy,moist,low,roasting|salads|boiling,5,5,9,10,9,austrian|european,fingerling,50,90,small,shallow,smooth,thin,82,100,mid_season,medium,medium,moderate,uniform,3,8,4,4,5,cool|temperate,false,,37,29,intermediate,good,medium,,resistant,resistant,highly_resistant,moderate,,false,false,,,extension.umaine.edu|woodprairie.com,high
66,Rose Finn Apple,,fingerling,pink,yellow,France,"Heirloom fingerling with rose-pink skin and yellow flesh. The waxy texture and buttery flavor suit roasting and salads beautifully. The knobby, apple-shaped fingerling is a garden favorite.",6,8,4,5,5,buttery,waxy,moist,low,roasting|salads|boiling,5,5,9,10,9,french|european,fingerling,50,90,small,shallow,smooth,thin,87,110,late,low,medium,few,uniform,3,8,3,6,4,cool,false,,27,30,advanced,good,long,,highly_resistant,susceptible,moderate,moderate,,false,false,,,extension.umaine.edu|westcoastseeds.com,high
67,Russian Banana Fingerling,,fingerling,yellow,yellow,Russia,"Russian heirloom fingerling with tan-yellow skin and golden flesh. The waxy texture and rich buttery flavor make memorable roasted potatoes and salads. Elongated banana shape is instantly recognizable.",6,8,4,5,6,buttery,waxy,moist,low,roasting|salads|boiling,5,5,10,10,9,russian|european,fingerling,47,76,small,shallow,smooth,thin,85,100,late,medium,medium,few,uniform,3,8,6,5,7,cool|temperate,true,16,38,21,intermediate,excellent,long,,moderate,highly_resistant,moderate,resistant,,true,false,SeedSow,Russian Banana,seedsnow.com|potatoassociation.org|westcoastseeds.com,high
68,Peruvian Purple,,specialty,purple,purple,Peru,"Andean heirloom with purple skin and purple flesh throughout. The firm texture and earthy flavor suit chips and roasting. Color holds through cooking for dramatic presentations.",7,5,5,5,4,earthy,firm,moist,medium,roasting|chips|salads,6,5,8,8,8,andean|global,fingerling,60,100,small,shallow,smooth,thin,85,110,mid_late,medium,medium,few,uniform,2,9,5,7,6,cool|temperate,false,,30,29,intermediate,good,medium,,susceptible,susceptible,moderate,resistant,,false,false,,,potatoassociation.org|ag.umass.edu,high
69,Irish Cobbler,,all_purpose,white,white,USA,"American heirloom from 1876 with white skin and white flesh. Very early to mature. The mealy texture and mild flavor excel in baking. A heritage variety with over a century of popularity.",5,5,4,4,4,mild,mealy,medium,medium,baking|boiling|mashing,6,7,7,6,5,american,round,80,130,medium,deep,smooth,thin,70,85,early,medium,medium,moderate,variable,2,9,4,3,5,cool|temperate,false,,32,31,beginner,fair,short,,susceptible,susceptible,resistant,resistant,,false,false,,,wikipedia.org|woodprairie.com,high
70,Bintje,,all_purpose,yellow,yellow,Netherlands,"Dutch classic from 1910 with yellow skin and golden flesh. The mealy texture and mild buttery flavor make excellent fries and chips. A benchmark variety for European cuisine and the original Belgian frite potato.",6,7,4,4,4,buttery,mealy,medium,medium,frying|chips|mashing,8,7,7,5,5,dutch|european,oval,80,150,large,shallow,smooth,thin,79,102,mid_late,high,medium,moderate,uniform,2,9,7,3,8,cool|temperate,false,,35,26,beginner,good,medium,,susceptible,moderate,highly_resistant,moderate,,false,false,,,seedsnow.com|wikipedia.org,high
71,Pink Fir Apple,,fingerling,pink,yellow,UK,"British heirloom fingerling from 1850 with pink skin and yellow flesh. The waxy texture and nutty flavor excel in salads and roasting. The distinctive knobby, fir cone shape is unique.",6,7,4,5,6,nutty,waxy,moist,low,salads|roasting|boiling,5,5,9,10,9,british|european,fingerling,50,100,small,shallow,smooth,thin,100,130,late,low,medium,few,uniform,3,8,4,7,5,cool,false,,38,29,advanced,good,long,,moderate,moderate,susceptible,moderate,,false,false,,,westcoastseeds.com|ag.umass.edu,high
72,Peter Wilcox,,all_purpose,purple,yellow,USA,"American specialty with deep purple skin and golden yellow flesh - a striking color contrast. The waxy texture and buttery flavor hold shape well for roasting. Bred in Maine.",6,7,4,4,4,buttery,waxy,moist,medium,roasting|salads|boiling,5,6,8,8,7,american,oval,98,155,medium,shallow,smooth,medium,90,101,mid_early,medium,medium,moderate,uniform,2,9,3,7,8,cool|temperate,false,,27,24,intermediate,good,medium,,moderate,resistant,susceptible,resistant,,false,false,,,wikipedia.org|potatoassociation.org,high
73,Blue Belle,,specialty,blue,blue,Netherlands,"Dutch blue variety with blue skin and matching blue flesh. The moist texture and mild flavor work well in roasting and salads. Color holds through cooking for striking results.",5,5,4,5,3,mild,moist,moist,medium,roasting|salads,5,5,8,8,7,dutch|european,oval,86,103,medium,shallow,smooth,thin,77,97,mid_early,medium,medium,few,uniform,2,9,4,6,5,cool|temperate,false,,37,27,beginner,good,medium,,highly_resistant,resistant,resistant,resistant,,false,false,,,westcoastseeds.com|seedsnow.com,high
74,Vitelotte,,specialty,purple,purple,France,"French heritage variety from the 1800s with deep purple-black skin and vivid purple flesh throughout. The dry, mealy texture and distinct nutty, chestnut-like flavor make it prized by gourmet chefs. Also known as Truffe de Chine.",7,5,5,5,6,nutty,mealy,dry,medium,roasting|chips|mashing,6,7,7,6,5,french|european,fingerling,50,90,small,medium,smooth,thick,100,130,late,low,low,few,uniform,2,9,3,6,4,cool,false,,35,23,advanced,excellent,long,,moderate,resistant,resistant,moderate,,false,false,,,potatoassociation.org|ag.umass.edu,high
75,Cherie,,all_purpose,red,yellow,France,"French fingerling with red skin and yellow flesh. The waxy texture and mild buttery flavor suit salads and boiling. Popular in French cuisine for its reliable quality and attractive appearance.",5,7,4,4,4,buttery,waxy,moist,low,salads|boiling|roasting,5,5,8,9,8,french|european,oval,60,100,medium,shallow,smooth,thin,78,102,mid_early,medium,medium,moderate,uniform,2,9,3,4,5,cool|temperate,false,,34,32,intermediate,good,medium,,susceptible,highly_resistant,moderate,susceptible,,false,false,,,ag.umass.edu|seedsnow.com,high
76,Champion,,all_purpose,white,cream,UK,"British heritage variety with white skin and cream flesh. The floury texture and mild flavor make versatile mashing and baking potatoes. A traditional favorite in British Isles cuisine.",5,5,4,4,4,mild,floury,medium,medium,mashing|baking|roasting,6,7,7,5,5,british|irish,round,64,75,medium,shallow,smooth,thin,85,100,mid_late,medium,medium,moderate,uniform,2,9,5,6,6,cool|temperate,false,,38,27,beginner,good,medium,,susceptible,susceptible,susceptible,susceptible,,false,false,,,westcoastseeds.com|seedsnow.com,high
77,King Harry,,all_purpose,white,yellow,USA,"American variety with white skin and yellow flesh. The waxy texture and mild flavor make good boiling potatoes. Named for its hairy leaves that deter Colorado potato beetles - excellent pest resistance.",5,6,4,4,4,mild,waxy,moist,medium,boiling|salads|roasting,5,5,8,8,7,american,oval,82,94,medium,shallow,smooth,thin,76,101,mid_early,medium,medium,many,uniform,2,9,5,5,5,cool|temperate,false,,25,20,beginner,good,medium,,susceptible,highly_resistant,highly_resistant,highly_resistant,,false,false,,,ag.umass.edu|seedsnow.com,high
78,Bora Valley,,all_purpose,purple,purple,Korea,"Korean variety with purple skin and purple flesh. The moist texture and mild flavor suit roasting and salads. Developed in South Korea's Bora Valley for modern cultivation.",6,5,4,5,4,mild,moist,moist,medium,roasting|salads,6,5,8,8,7,korean|asian,round,80,112,medium,shallow,smooth,medium,81,93,mid_season,medium,medium,moderate,uniform,2,9,3,7,5,cool|temperate,false,,26,31,intermediate,good,medium,,susceptible,resistant,susceptible,resistant,,false,false,,,seedsnow.com|extension.umaine.edu,high
79,Congo,,specialty,purple,purple,Belgium,"Belgian heritage variety with purple-black skin and purple flesh throughout. The dry, mealy texture and earthy flavor suit chips and roasting. Color holds well when cooked.",6,4,6,4,4,earthy,mealy,dry,medium,chips|roasting,6,6,7,6,5,belgian|european,oval,79,117,medium,medium,smooth,medium,77,103,mid_early,medium,medium,moderate,moderate,2,9,3,4,6,cool|temperate,false,,27,33,intermediate,good,medium,,resistant,susceptible,highly_resistant,resistant,,false,false,,,westcoastseeds.com|wikipedia.org,high
80,Shetland Black,,specialty,purple,yellow,UK,"Scottish heritage variety from the Shetland Islands with dark purple-black skin and yellow flesh ringed with purple. The mealy texture and rich flavor make interesting roasted potatoes. A historic variety.",6,6,5,4,5,complex,mealy,medium,medium,roasting|baking,6,6,8,6,5,scottish|british,round,60,100,medium,medium,smooth,medium,89,110,mid_late,low,medium,few,variable,2,9,3,7,8,cool,false,,36,24,advanced,fair,short,,moderate,moderate,susceptible,moderate,,false,false,,,westcoastseeds.com|potatoassociation.org,high
81,Adirondack Red,,specialty,red,red,USA,"New York-bred specialty with bright red skin and red flesh throughout. The moist texture and mild flavor suit roasting and salads. High antioxidants complement its striking appearance. Sibling to Adirondack Blue.",5,5,4,5,3,mild,moist,moist,medium,roasting|salads|mashing,5,6,8,8,7,american,oblong,80,133,medium,shallow,smooth,thin,92,105,mid_late,medium,medium,moderate,moderate,2,9,3,4,6,cool|temperate,false,,30,20,intermediate,good,medium,,resistant,highly_resistant,susceptible,susceptible,,false,false,,,woodprairie.com|wikipedia.org,high
82,Belle de Fontenay,,fingerling,yellow,yellow,France,"French heirloom fingerling from 1885 with yellow skin and golden flesh. The waxy texture and buttery flavor make exceptional roasted potatoes and salads. A classic of French cuisine prized by chefs.",6,8,4,4,5,buttery,waxy,moist,low,salads|roasting|boiling,5,5,9,10,9,french|european,fingerling,50,90,small,shallow,smooth,thin,82,100,mid_late,low,medium,few,uniform,2,9,5,3,5,cool|temperate,false,,26,24,advanced,good,long,,highly_resistant,highly_resistant,susceptible,highly_resistant,,false,false,,,westcoastseeds.com|seedsnow.com,high
83,Butterball,,all_purpose,yellow,yellow,USA,"American variety with yellow skin and golden flesh. The mealy texture and rich buttery flavor make excellent mashed potatoes. The name reflects its creamy, butter-like quality.",6,8,4,4,5,buttery,mealy,moist,medium,mashing|baking|roasting,6,8,8,6,5,american,round,78,90,medium,shallow,smooth,thin,80,99,mid_season,medium,medium,moderate,moderate,2,9,5,5,4,cool|temperate,false,,28,29,beginner,good,medium,,highly_resistant,resistant,resistant,susceptible,,false,false,,,potatoassociation.org|wikipedia.org,high
84,Banba,,all_purpose,white,cream,Ireland,"Irish variety with white skin and cream flesh. The floury texture and mild flavor suit mashing and baking. Named after Banba, a patron goddess of Ireland.",5,5,4,4,4,mild,floury,medium,medium,mashing|baking|roasting,6,7,8,5,5,irish,oval,78,105,medium,shallow,smooth,thin,88,102,mid_early,high,medium,moderate,moderate,2,9,4,4,6,cool|temperate,false,,25,27,beginner,good,medium,,resistant,susceptible,resistant,susceptible,,false,false,,,wikipedia.org|potatoassociation.org,high
85,Ranger Russet,,starchy,russet,white,USA,"American russet developed in Idaho with classic russeted skin and white flesh. The floury texture and mild flavor excel in baking and frying. High starch content delivers fluffy results. A commercial favorite.",7,5,6,2,2,mild,floury,dry,high,baking|frying,9,9,6,2,3,american,oblong,84,150,large,shallow,russeted,medium,90,110,mid_season,high,medium,moderate,uniform,3,9,6,6,4,cool|temperate,false,,25,24,intermediate,good,medium,,highly_resistant,highly_resistant,resistant,moderate,,false,false,,,woodprairie.com|seedsnow.com,high
86,Butte,,starchy,russet,white,USA,"American russet developed in Idaho with classic brown russeted skin and white flesh. The floury texture and mild flavor suit baking and frying. Bred in Idaho for commercial production.",7,5,6,2,2,mild,floury,dry,high,baking|frying,8,9,6,2,3,american,oblong,76,150,large,shallow,russeted,medium,77,95,mid_late,medium,medium,moderate,moderate,3,9,7,3,5,cool|temperate,false,,34,34,intermediate,good,medium,,moderate,susceptible,moderate,highly_resistant,,false,false,,,wikipedia.org|ag.umass.edu,high
87,Cascade,,all_purpose,russet,white,USA,"American variety developed in the Pacific Northwest with light russeted skin and white flesh. The mealy texture and mild flavor make versatile baking and frying potatoes.",5,5,4,4,3,mild,mealy,medium,medium,baking|frying|mashing,6,6,7,5,5,american,oblong,91,117,medium,shallow,russeted,thin,89,102,mid_early,medium,medium,moderate,moderate,2,9,6,7,4,cool|temperate,false,,34,20,beginner,good,medium,,susceptible,moderate,moderate,resistant,,false,false,,,extension.umaine.edu|westcoastseeds.com,high
88,Eramosa,,all_purpose,yellow,yellow,Canada,"Canadian variety with yellow skin and matching yellow flesh. The waxy texture and buttery flavor make excellent boiling and roasting potatoes. Named after the Eramosa River in Ontario.",5,7,4,4,4,buttery,waxy,moist,medium,boiling|roasting|salads,5,6,8,8,7,canadian,round,114,164,large,shallow,smooth,thin,75,100,mid_season,medium,medium,moderate,moderate,2,9,4,7,6,cool|temperate,false,,35,31,beginner,good,medium,,highly_resistant,highly_resistant,susceptible,susceptible,,false,false,,,potatoassociation.org|woodprairie.com,high
89,Excellency,,all_purpose,yellow,yellow,USA,"American variety with yellow skin and golden flesh. The waxy texture and buttery flavor suit salads and roasting. Bred for consistent quality and good yields.",5,7,4,4,4,buttery,waxy,moist,medium,salads|roasting|boiling,5,6,7,8,7,american,round,92,119,medium,shallow,smooth,thin,88,103,mid_late,medium,medium,moderate,uniform,2,9,4,4,8,cool|temperate,false,,28,34,beginner,good,medium,,susceptible,resistant,resistant,resistant,,false,false,,,ag.umass.edu|extension.umaine.edu,high
90,Fingerling Mix,,fingerling,mixed,mixed,Various,"Mixed fingerling collection with various skin and flesh colors. The waxy texture and varied flavors make excellent salads. Perfect for sampling different fingerling types in one planting.",6,6,4,5,5,varied,waxy,moist,low,salads|roasting,4,4,8,10,9,global,fingerling,34,70,small,shallow,smooth,thin,84,100,varied,medium,medium,moderate,variable,3,8,3,7,6,cool|temperate,true,15,26,24,beginner,good,medium,,varied,varied,varied,varied,,false,true,WestCoastSeeds,Potato Mix,westcoastseeds.com|ag.umass.edu|extension.umaine.edu,medium
91,Gaia,,all_purpose,yellow,yellow,Netherlands,"Dutch variety with yellow skin and matching golden flesh. The waxy texture and mild buttery flavor make excellent boiling and roasting potatoes.",5,6,4,4,4,buttery,waxy,moist,medium,boiling|roasting|salads,5,5,8,8,7,dutch|european,round,81,99,medium,shallow,smooth,thin,84,106,mid_early,medium,medium,moderate,moderate,2,9,5,6,7,cool|temperate,false,,31,34,beginner,good,medium,,resistant,susceptible,susceptible,resistant,,false,false,,,ag.umass.edu|westcoastseeds.com,high
92,Harlequin,,all_purpose,bicolor,cream,UK,"British variety with distinctive bicolor skin (red splashed on cream) and cream flesh. The waxy texture and mild flavor suit salads and boiling. Named for its patterned skin appearance.",5,6,4,4,4,mild,waxy,moist,medium,salads|boiling|roasting,5,5,8,8,7,british,oval,73,123,medium,shallow,smooth,thin,82,95,mid_early,medium,medium,moderate,moderate,2,9,3,6,4,cool|temperate,false,,26,34,intermediate,good,medium,,susceptible,moderate,resistant,susceptible,,false,false,,,wikipedia.org|woodprairie.com,high
93,Huron,,all_purpose,white,white,Canada,"Canadian variety with white skin and white flesh. The mealy texture and mild flavor suit baking and mashing. Named after Lake Huron.",5,5,4,4,3,mild,mealy,medium,medium,baking|mashing|frying,6,7,7,5,5,canadian,round,119,163,large,shallow,smooth,thin,75,96,mid_season,medium,medium,moderate,moderate,2,9,3,7,8,cool|temperate,false,,34,21,beginner,good,medium,,susceptible,resistant,susceptible,susceptible,,false,false,,,wikipedia.org|potatoassociation.org,high
94,Inca Gold,,all_purpose,yellow,yellow,Peru,"Peruvian heritage variety with golden skin and matching yellow flesh. The waxy texture and buttery flavor make excellent salads and roasting. Named for its Andean origins.",6,8,4,5,4,buttery,waxy,moist,low,salads|roasting|boiling,5,6,8,9,8,andean|global,oval,80,130,medium,shallow,smooth,thin,75,94,mid_season,medium,medium,moderate,moderate,2,9,3,3,4,cool|temperate,false,,36,26,intermediate,good,medium,,highly_resistant,moderate,moderate,susceptible,,false,false,,,westcoastseeds.com|wikipedia.org,high
95,Irish Gold,,all_purpose,yellow,yellow,Ireland,"Irish variety with golden skin and matching yellow flesh. The waxy texture and buttery flavor make excellent roasting potatoes. A modern variety with classic appeal.",5,7,4,4,4,buttery,waxy,moist,medium,roasting|boiling|salads,5,6,8,8,7,irish,oval,109,153,large,shallow,smooth,thin,87,97,mid_season,medium,medium,moderate,uniform,2,9,6,4,7,cool|temperate,false,,29,32,beginner,good,medium,,highly_resistant,resistant,susceptible,highly_resistant,,false,false,,,ag.umass.edu|wikipedia.org,high
96,Jewel Yam,,all_purpose,red,orange,USA,"American sweet potato variety with copper-red skin and deep orange flesh. The moist texture and sweet flavor suit baking. Actually a sweet potato, not a true potato.",7,5,3,8,3,sweet,moist,moist,low,baking|mashing,3,8,7,4,4,american,oblong,100,200,large,shallow,smooth,thin,90,120,late,high,medium,moderate,uniform,2,9,4,4,4,warm,false,,35,31,beginner,good,medium,,varied,varied,varied,varied,,false,false,,,extension.umaine.edu|wikipedia.org,medium
