
id,name,alternateNames,type,origin,description,sweetness,tartness,aromaIntensity,flavorComplexity,flavorCategory,textureCategory,juiciness,fruitSizeGrams_min,fruitSizeGrams_max,sizeCategory,fruitShape,colorIntensity,interiorColor,skinStrength,shelfLife,bestUses,processingQuality,freezingQuality,daysToFirstHarvest,harvestWindow,yieldPotential,runnerProduction,plantVigor,lifespan,hardinessZone_min,hardinessZone_max,heatTolerance,coldTolerance,climateSuitability,containerFriendly,minPotLiters,spacingCm,difficulty,diseaseResistance_verticillium,diseaseResistance_powderyMildew,diseaseResistance_crownRot,diseaseResistance_leafSpot,pestNotes,diseaseNotes,sources,confidence,availableFrom_SeedSow,availableFrom_WestCoastSeeds,vendorSeedList,vendorVarietyNames
61,Eversweet,,everbearing,USA,Eversweet is a everbearing strawberry with large berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,8,5,6,8,classic,medium,8,14,18,large,round,7,red,8,excellent,fresh_eating|jam|preserves|freezing,6,7,88,long,high,low,high,3_years,3,8,6,8,temperate|cool,true,20,30,intermediate,moderate,resistant,resistant,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
62,Rapella,,everbearing,Germany,Rapella is a everbearing strawberry with medium berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,5,5,8,7,classic,medium,9,9,13,medium,wedge,7,red,6,good,fresh_eating|jam|preserves|freezing,8,6,82,long,medium,low,medium,2_years,3,5,4,8,temperate|cool,true,7,20,beginner,moderate,moderate,resistant,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
63,Calypso,,everbearing,Germany,Calypso is a everbearing strawberry with medium berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,5,3,6,5,classic,soft,7,12,16,medium,wedge,5,red,8,excellent,fresh_eating|jam|preserves|freezing,6,8,77,long,medium,low,high,2_years,4,7,7,9,temperate|cool,false,,25,intermediate,resistant,moderate,moderate,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
64,Bolero,,everbearing,Canada,Bolero is a everbearing strawberry with large berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,5,5,7,6,classic,medium,7,15,19,large,elongated,8,red,7,good,fresh_eating|jam|preserves|freezing,6,5,91,long,medium,low,medium,3_years,4,6,4,7,temperate|cool,true,15,30,intermediate,resistant,moderate,resistant,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
65,Arapahoe,,everbearing,Switzerland,Arapahoe is a everbearing strawberry with medium berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,6,6,7,5,classic,medium,8,11,15,medium,wedge,6,pink,8,excellent,fresh_eating|jam|preserves|freezing,6,7,77,long,high,moderate,high,2_years,3,5,8,8,temperate|cool,false,,30,beginner,moderate,moderate,moderate,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
66,Aromel,,everbearing,France,Aromel is a everbearing strawberry with large berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,6,6,5,8,classic,firm,6,13,17,large,wedge,8,red,7,good,fresh_eating|jam|preserves|freezing,7,8,100,long,high,low,high,3_years,3,6,8,5,temperate|cool,true,15,45,beginner,moderate,moderate,resistant,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
67,White Pineberry,,alpine,France,White Pineberry is a alpine strawberry with small berries and aromatic flavor; ideal for cool climates and versatile use in the kitchen.,9,5,10,10,aromatic,medium,9,1,4,small,conical,3,white,5,fair,fresh_eating|desserts|salads,8,7,106,continuous,low,none,low,4_plus_years,4,8,3,5,cool|temperate,true,5,30,intermediate,moderate,moderate,susceptible,susceptible,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
68,Pineapple Crush,,alpine,Italy,Pineapple Crush is a alpine strawberry with small berries and aromatic flavor; ideal for cool climates and versatile use in the kitchen.,7,2,10,7,aromatic,firm,7,1,5,small,conical,1,white,4,poor,fresh_eating|desserts|salads,9,9,103,continuous,medium,none,low,3_years,4,7,5,6,cool|temperate,true,10,25,beginner,susceptible,moderate,susceptible,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
69,White Carolina,,alpine,Japan,White Carolina is a alpine strawberry with small berries and aromatic flavor; ideal for cool climates and versatile use in the kitchen.,8,3,10,9,aromatic,firm,8,1,4,small,conical,3,white,5,fair,fresh_eating|desserts|salads,6,9,107,continuous,medium,none,medium,3_years,5,8,5,9,cool|temperate,true,7,45,intermediate,moderate,susceptible,moderate,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
70,Golden Alexandria,,alpine,New Zealand,Golden Alexandria is a alpine strawberry with small berries and aromatic flavor; ideal for cool climates and versatile use in the kitchen.,9,3,10,7,aromatic,soft,9,3,7,small,conical,3,white,5,fair,fresh_eating|desserts|salads,5,6,102,continuous,medium,none,low,4_plus_years,4,7,4,5,cool|temperate,true,10,45,beginner,susceptible,moderate,moderate,susceptible,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
71,Fragola di Bosco,,musk,Netherlands,Fragola di Bosco is a musk strawberry with large berries and complex flavor; ideal for temperate climates and versatile use in the kitchen.,7,5,8,9,complex,medium,9,18,22,large,irregular,8,dark_red,8,excellent,fresh_eating|wine|desserts,7,7,110,medium,low,none,low,3_years,5,9,3,8,temperate|warm,false,,40,advanced,susceptible,susceptible,susceptible,susceptible,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
72,Musk Strawberry,,musk,Germany,Musk Strawberry is a musk strawberry with very large berries and complex flavor; ideal for temperate climates and versatile use in the kitchen.,8,4,9,9,complex,soft,10,32,36,very_large,irregular,7,dark_red,10,excellent,fresh_eating|wine|desserts,6,5,109,medium,low,none,low,3_years,6,8,5,5,temperate|warm,false,,25,advanced,susceptible,susceptible,susceptible,susceptible,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
73,Capron,,musk,France,Capron is a musk strawberry with very large berries and complex flavor; ideal for temperate climates and versatile use in the kitchen.,9,4,8,8,complex,soft,9,25,29,very_large,irregular,10,dark_red,8,excellent,fresh_eating|wine|desserts,7,6,122,medium,low,none,low,3_years,6,8,5,8,temperate|warm,false,,45,advanced,susceptible,susceptible,susceptible,susceptible,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
74,Capitola,,musk,Japan,Capitola is a musk strawberry with very large berries and complex flavor; ideal for temperate climates and versatile use in the kitchen.,9,3,10,10,complex,medium,7,34,38,very_large,irregular,7,dark_red,7,good,fresh_eating|wine|desserts,6,9,91,medium,low,none,low,3_years,6,7,3,5,temperate|warm,false,,20,advanced,susceptible,susceptible,susceptible,susceptible,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
75,Baron Solemacher,,alpine,Japan,Baron Solemacher is a alpine strawberry with small berries and aromatic flavor; ideal for cool climates and versatile use in the kitchen.,10,5,7,7,aromatic,soft,9,1,4,small,conical,6,red,6,good,fresh_eating|desserts|salads,7,8,100,continuous,low,none,medium,3_years,4,6,3,6,cool|temperate,true,5,40,intermediate,moderate,moderate,moderate,susceptible,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
76,White Soul,,alpine,Germany,White Soul is a alpine strawberry with small berries and aromatic flavor; ideal for cool climates and versatile use in the kitchen.,8,4,7,7,aromatic,soft,6,3,7,small,conical,2,white,7,good,fresh_eating|desserts|salads,5,5,98,continuous,low,none,low,3_years,4,7,5,7,cool|temperate,true,10,20,beginner,susceptible,susceptible,moderate,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
77,Alpine Red Wonder,,alpine,New Zealand,Alpine Red Wonder is a alpine strawberry with small berries and aromatic flavor; ideal for cool climates and versatile use in the kitchen.,8,4,7,8,aromatic,soft,7,3,7,small,conical,6,red,6,good,fresh_eating|desserts|salads,5,7,104,continuous,low,none,medium,4_plus_years,5,8,3,5,cool|temperate,true,10,45,intermediate,susceptible,susceptible,moderate,susceptible,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
78,Ali Baba,,alpine,Italy,Ali Baba is a alpine strawberry with small berries and aromatic flavor; ideal for cool climates and versatile use in the kitchen.,10,4,7,9,aromatic,firm,9,3,7,small,conical,7,red,6,good,fresh_eating|desserts|salads,8,7,99,continuous,medium,none,low,4_plus_years,4,8,4,6,cool|temperate,true,10,20,beginner,moderate,susceptible,moderate,susceptible,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
79,Florida Beauty,,day_neutral,New Zealand,Florida Beauty is a day neutral strawberry with medium berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,6,5,8,7,classic,soft,8,7,11,medium,wedge,5,pink,8,excellent,fresh_eating|jam|freezing|desserts,9,6,89,continuous,high,low,medium,2_years,5,6,8,9,temperate|warm,true,7,35,beginner,resistant,resistant,resistant,moderate,,,extension.oregonstate.edu|strawberryplants.org|noursefarms.com,high,false,false,,
80,Portola,,day_neutral,Italy,Portola is a day neutral strawberry with medium berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,9,4,6,7,classic,soft,8,10,14,medium,elongated,6,pink,6,good,fresh_eating|jam|freezing|desserts,5,8,89,continuous,high,moderate,high,2_years,5,8,5,8,temperate|warm,true,10,40,beginner,resistant,moderate,moderate,resistant,,,extension.oregonstate.edu|strawberryplants.org|noursefarms.com,high,false,false,,
81,Evie 2,,day_neutral,Canada,Evie 2 is a day neutral strawberry with medium berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,8,6,7,8,classic,medium,7,10,14,medium,round,6,red,7,good,fresh_eating|jam|freezing|desserts,8,7,90,continuous,high,moderate,high,2_years,5,9,6,8,temperate|warm,true,7,20,beginner,moderate,moderate,resistant,moderate,,,extension.oregonstate.edu|strawberryplants.org|noursefarms.com,high,false,false,,
82,Tribute,,day_neutral,Germany,Tribute is a day neutral strawberry with large berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,7,5,6,7,classic,firm,7,17,21,large,elongated,8,pink,10,excellent,fresh_eating|jam|freezing|desserts,5,5,105,continuous,high,moderate,medium,3_years,4,6,5,7,temperate|warm,true,10,45,beginner,resistant,resistant,resistant,moderate,,,extension.oregonstate.edu|strawberryplants.org|noursefarms.com,high,false,false,,
83,Monterey,,day_neutral,Canada,Monterey is a day neutral strawberry with large berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,7,6,7,8,classic,medium,9,18,22,large,wedge,7,pink,10,excellent,fresh_eating|jam|freezing|desserts,8,7,73,continuous,high,low,medium,2_years,5,8,6,8,temperate|warm,true,10,40,intermediate,resistant,resistant,moderate,resistant,,,extension.oregonstate.edu|strawberryplants.org|noursefarms.com,high,false,false,,
84,Selva,,day_neutral,Germany,Selva is a day neutral strawberry with large berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,6,3,7,5,classic,soft,7,17,21,large,wedge,6,pink,9,excellent,fresh_eating|jam|freezing|desserts,6,6,89,continuous,high,low,high,2_years,4,9,7,5,temperate|warm,true,20,40,beginner,resistant,resistant,resistant,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
85,Archer,,day_neutral,Italy,Archer is a day neutral strawberry with large berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,6,4,7,7,classic,soft,7,13,17,large,conical,7,red,9,excellent,fresh_eating|jam|freezing|desserts,5,6,93,continuous,high,low,high,3_years,5,7,6,9,temperate|warm,true,20,20,beginner,resistant,moderate,moderate,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
86,Charlotte,,day_neutral,Canada,Charlotte is a day neutral strawberry with medium berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,9,6,6,8,classic,soft,9,8,12,medium,elongated,6,pink,8,excellent,fresh_eating|jam|freezing|desserts,8,6,79,continuous,medium,moderate,high,2_years,5,6,7,6,temperate|warm,true,5,35,intermediate,resistant,resistant,resistant,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
87,Aromas,,day_neutral,Japan,Aromas is a day neutral strawberry with large berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,7,5,5,7,classic,firm,7,14,18,large,round,6,red,10,excellent,fresh_eating|jam|freezing|desserts,7,5,94,continuous,medium,low,high,3_years,4,9,8,6,temperate|warm,true,15,20,beginner,resistant,moderate,resistant,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
88,Elan,,day_neutral,Japan,Elan is a day neutral strawberry with large berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,7,5,8,6,classic,firm,7,18,22,large,wedge,6,pink,9,excellent,fresh_eating|jam|freezing|desserts,6,8,96,continuous,medium,moderate,high,3_years,5,6,5,8,temperate|warm,true,10,30,beginner,moderate,moderate,moderate,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
89,Hecker,,day_neutral,New Zealand,Hecker is a day neutral strawberry with large berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,8,6,8,8,classic,firm,6,16,20,large,conical,8,red,9,excellent,fresh_eating|jam|freezing|desserts,7,9,99,continuous,high,low,medium,3_years,5,6,8,8,temperate|warm,true,10,35,beginner,resistant,resistant,resistant,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
90,NSC 358,,day_neutral,Canada,NSC 358 is a day neutral strawberry with medium berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,8,3,5,5,classic,firm,9,6,10,medium,conical,6,red,8,excellent,fresh_eating|jam|freezing|desserts,8,5,76,continuous,medium,low,high,2_years,5,6,6,7,temperate|warm,true,5,30,beginner,moderate,resistant,resistant,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
91,Cabrillo,,day_neutral,Japan,Cabrillo is a day neutral strawberry with medium berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,9,3,6,6,classic,medium,9,6,10,medium,conical,7,pink,8,excellent,fresh_eating|jam|freezing|desserts,9,6,80,continuous,medium,low,high,2_years,4,6,6,7,temperate|warm,true,7,25,intermediate,moderate,moderate,moderate,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
92,Murano,,day_neutral,Canada,Murano is a day neutral strawberry with medium berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,7,6,8,6,classic,firm,6,7,11,medium,wedge,5,red,7,good,fresh_eating|jam|freezing|desserts,8,8,98,continuous,medium,low,high,2_years,4,8,4,7,temperate|warm,true,5,40,beginner,resistant,resistant,moderate,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
93,Favori,,day_neutral,Germany,Favori is a day neutral strawberry with medium berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,6,3,7,7,classic,firm,7,12,16,medium,elongated,7,pink,8,excellent,fresh_eating|jam|freezing|desserts,7,5,80,continuous,medium,low,high,2_years,4,6,7,9,temperate|warm,true,7,45,intermediate,resistant,resistant,moderate,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
94,Jonsok,,june_bearing,Canada,Jonsok is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,7,4,7,8,classic,firm,6,19,23,large,elongated,7,red,8,excellent,fresh_eating|jam|preserves|baking,6,7,102,short,high,very_high,medium,3_years,4,6,4,6,cool|temperate|warm,false,,25,intermediate,resistant,resistant,moderate,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
95,Rügen,,alpine,Netherlands,Rügen is a alpine strawberry with small berries and aromatic flavor; ideal for cool climates and versatile use in the kitchen.,10,4,7,9,aromatic,firm,6,3,7,small,conical,9,red,6,good,fresh_eating|desserts|salads,8,7,86,continuous,low,none,medium,3_years,5,6,2,6,cool|temperate,true,10,40,beginner,susceptible,susceptible,susceptible,susceptible,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
96,Reine des Vallées,,alpine,UK,Reine des Vallées is a alpine strawberry with small berries and aromatic flavor; ideal for cool climates and versatile use in the kitchen.,7,5,8,9,aromatic,medium,7,3,7,small,conical,8,red,6,good,fresh_eating|desserts|salads,5,7,100,continuous,medium,none,low,3_years,4,6,2,8,cool|temperate,true,5,35,intermediate,moderate,moderate,susceptible,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
97,White Wonder,,alpine,USA,White Wonder is a alpine strawberry with small berries and aromatic flavor; ideal for cool climates and versatile use in the kitchen.,9,3,10,9,aromatic,firm,9,1,5,small,conical,3,white,5,fair,fresh_eating|desserts|salads,8,8,88,continuous,medium,none,low,3_years,5,8,2,7,cool|temperate,true,5,45,intermediate,moderate,susceptible,susceptible,susceptible,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
98,Tarpan,,everbearing,France,Tarpan is a everbearing strawberry with large berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,5,3,6,8,classic,soft,8,13,17,large,conical,5,pink,10,excellent,fresh_eating|jam|preserves|freezing,5,6,75,long,medium,moderate,medium,2_years,4,7,6,8,temperate|cool,false,,45,intermediate,resistant,resistant,resistant,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
99,Gento,,june_bearing,France,Gento is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,7,3,6,8,classic,firm,9,20,24,large,elongated,6,dark_red,8,excellent,fresh_eating|jam|preserves|baking,7,7,110,short,very_high,very_high,medium,2_years,4,8,8,5,cool|temperate|warm,true,15,25,beginner,moderate,resistant,resistant,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
100,Crosby,,june_bearing,France,Crosby is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,9,4,5,8,classic,soft,6,14,18,large,conical,6,red,8,excellent,fresh_eating|jam|preserves|baking,8,5,100,short,very_high,very_high,medium,3_years,4,6,4,6,cool|temperate|warm,false,,35,beginner,moderate,resistant,moderate,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
101,Sablonneuse,,musk,Japan,Sablonneuse is a musk strawberry with very large berries and complex flavor; ideal for temperate climates and versatile use in the kitchen.,9,5,8,9,complex,medium,10,23,27,very_large,irregular,9,dark_red,8,excellent,fresh_eating|wine|desserts,6,7,109,medium,low,none,low,3_years,6,8,3,5,temperate|warm,false,,40,advanced,susceptible,susceptible,susceptible,susceptible,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
102,Whopper,,june_bearing,UK,Whopper is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,9,3,5,7,classic,soft,9,14,18,large,elongated,7,red,7,good,fresh_eating|jam|preserves|baking,6,5,109,short,very_high,very_high,high,3_years,5,8,5,5,cool|temperate|warm,true,10,20,intermediate,moderate,resistant,resistant,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
103,Lincoln,,june_bearing,France,Lincoln is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,8,3,6,8,classic,medium,8,15,19,large,wedge,7,dark_red,9,excellent,fresh_eating|jam|preserves|baking,9,6,110,short,very_high,high,medium,3_years,5,7,7,5,cool|temperate|warm,true,10,40,beginner,moderate,resistant,moderate,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
104,Hapil,,june_bearing,France,Hapil is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,8,3,5,6,classic,soft,7,13,17,large,round,6,dark_red,10,excellent,fresh_eating|jam|preserves|baking,7,6,108,short,very_high,very_high,high,2_years,4,9,7,7,cool|temperate|warm,true,20,45,intermediate,moderate,moderate,resistant,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
105,Maxim,,june_bearing,Netherlands,Maxim is a june bearing strawberry with very large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,9,3,6,7,classic,firm,7,28,32,very_large,conical,9,red,9,excellent,fresh_eating|jam|preserves|baking,8,8,98,short,very_high,very_high,medium,2_years,5,9,4,7,cool|temperate|warm,true,20,20,intermediate,resistant,moderate,moderate,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
106,Pandora,,june_bearing,Netherlands,Pandora is a june bearing strawberry with very large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,9,6,7,8,classic,firm,6,25,29,very_large,wedge,7,dark_red,7,good,fresh_eating|jam|preserves|baking,6,9,91,short,high,very_high,high,2_years,4,8,5,8,cool|temperate|warm,true,10,40,beginner,resistant,resistant,moderate,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
107,Raritan,,june_bearing,Canada,Raritan is a june bearing strawberry with very large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,6,5,6,6,classic,medium,9,27,31,very_large,round,8,dark_red,8,excellent,fresh_eating|jam|preserves|baking,6,7,94,short,very_high,very_high,medium,2_years,5,6,7,5,cool|temperate|warm,true,20,45,intermediate,moderate,moderate,moderate,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
108,Evie 3,,day_neutral,Switzerland,Evie 3 is a day neutral strawberry with medium berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,8,6,8,8,classic,firm,8,7,11,medium,elongated,6,red,8,excellent,fresh_eating|jam|freezing|desserts,9,6,87,continuous,high,low,high,3_years,5,8,5,7,temperate|warm,true,10,20,beginner,moderate,moderate,resistant,resistant,,,extension.oregonstate.edu|strawberryplants.org|noursefarms.com,high,false,false,,
